               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              5.3171,              6.8031,              5.2777,           0.0039383,          0.00096178,          0.00042985,          0.00013628,                   0,                   0,                   0,            0.070023,           0.0033308,           0.0033308
                   1,              3.3849,              3.1252,              2.9748,             0.37165,             0.15567,             0.12182,            0.055606,                   0,                   0,                   0,            0.040001,           0.0066421,           0.0066421
                   2,              2.4477,               1.903,              1.9417,             0.46394,             0.28055,             0.24826,             0.11645,                   0,                   0,                   0,           0.0099569,           0.0099315,           0.0099315
                   3,              2.2014,              1.5842,              1.7603,              0.6003,             0.31878,              0.3417,             0.16832,                   0,                   0,                   0,            0.009901,            0.009901,            0.009901
                   4,              2.0698,              1.4093,              1.6672,             0.63091,             0.33962,             0.40179,             0.20017,                   0,                   0,                   0,            0.009901,            0.009901,            0.009901
                   5,               1.994,              1.3164,              1.6212,             0.63809,             0.37743,             0.41457,             0.21453,                   0,                   0,                   0,            0.009868,            0.009868,            0.009868
                   6,              1.9489,              1.2581,              1.5901,             0.57984,             0.45016,             0.45968,             0.23144,                   0,                   0,                   0,            0.009835,            0.009835,            0.009835
                   7,              1.9102,              1.2122,              1.5661,             0.63131,             0.42857,             0.49287,             0.25212,                   0,                   0,                   0,            0.009802,            0.009802,            0.009802
                   8,              1.8847,              1.1841,               1.551,             0.61649,             0.45198,             0.49723,             0.25444,                   0,                   0,                   0,            0.009769,            0.009769,            0.009769
                   9,              1.8621,              1.1568,              1.5373,             0.61359,             0.44014,             0.51138,             0.26081,                   0,                   0,                   0,            0.009736,            0.009736,            0.009736
                  10,              1.8425,              1.1322,              1.5248,             0.59903,             0.46867,             0.52816,             0.27133,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
