                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5431,                 1.2041,                  1.823,                0.99116,                0.99512,                 0.9938,                0.74328,                0.93074,                0.38147,                 1.3527,              0.0033331,              0.0033331,              0.0033331
                      2,                  1.048,                0.47519,                 1.3099,                0.99624,                0.99799,                0.99437,                0.76981,                0.88083,                0.32656,                 1.3101,              0.0066444,              0.0066444,              0.0066444
                      3,                 1.0068,                0.43629,                 1.2799,                0.99654,                0.99808,                0.99448,                0.78023,                0.86509,                0.32647,                 1.3195,              0.0099337,              0.0099337,              0.0099337
                      4,                0.97813,                0.41266,                 1.2599,                0.98733,                0.97719,                0.98742,                0.74613,                 0.9495,                0.69872,                 1.4538,               0.009901,               0.009901,               0.009901
                      5,                0.95432,                0.39296,                  1.244,                0.99052,                0.91088,                0.95426,                0.69482,                 1.0602,                 1.4747,                 1.5598,               0.009901,               0.009901,               0.009901
                      6,                0.94126,                0.38202,                 1.2343,                0.99349,                0.90476,                0.95135,                0.69268,                 1.0617,                    1.6,                 1.5661,               0.009868,               0.009868,               0.009868
                      7,                0.93289,                0.37577,                 1.2273,                 0.9958,                0.94451,                0.97134,                0.72425,                0.98929,                 1.2373,                 1.5006,               0.009835,               0.009835,               0.009835
                      8,                0.92875,                0.37346,                 1.2241,                0.99532,                0.97888,                0.98853,                  0.754,                0.92395,                0.80463,                  1.431,               0.009802,               0.009802,               0.009802
                      9,                0.92286,                0.36937,                 1.2208,                0.99492,                0.99534,                0.99436,                0.77599,                 0.8775,                0.50787,                 1.3715,               0.009769,               0.009769,               0.009769
                     10,                  0.921,                0.36776,                 1.2186,                0.99436,                0.99861,                0.99436,                 0.7902,                0.84959,                 0.3596,                 1.3292,               0.009736,               0.009736,               0.009736
                     11,                0.91746,                0.36441,                 1.2165,                0.99789,                0.99808,                0.99444,                0.79943,                0.83388,                0.30792,                 1.3014,               0.009703,               0.009703,               0.009703
                     12,                0.91617,                0.36439,                 1.2147,                0.99786,                0.99848,                0.99442,                0.80602,                0.82252,                0.28802,                 1.2813,                0.00967,                0.00967,                0.00967
                     13,                0.91429,                0.36235,                 1.2135,                0.99793,                 0.9985,                0.99451,                0.80901,                0.81586,                0.27832,                 1.2689,               0.009637,               0.009637,               0.009637
